prioridad,archivo_a_subir,referencia,producto,marca,modelo,capacidad,color,categoria,motivo
5,A244.jpg,A244,Samsung Galaxy Watch Ultra 7 47mm LTE,Samsung,Samsung Galaxy Watch Ultra 7 47mm LTE,,,Relojes,La lámina no incluye este modelo exacto
5,A250.jpg,A250,Xiaomi Sport Band,Xiaomi,Xiaomi Sport Band,,,Relojes,La lámina no incluye este modelo exacto
6,A228.jpg,A228,AirPods 4,Apple,AirPods 4,,,Audio,La lámina no incluye este modelo exacto
6,A227.jpg,A227,AirPods 4 Noise Cancel,Apple,AirPods 4 Noise Cancel,,,Audio,La lámina no incluye este modelo exacto
6,A336.jpg,A336,JBL BT Endurance Run 3,JBL,JBL BT Endurance Run 3,,,Audio,La lámina no incluye este modelo exacto
6,A330.jpg,A330,JBL Boombox 4,JBL,JBL Boombox 4,,,Audio,La lámina no incluye este modelo exacto
6,A331.jpg,A331,JBL Charge 6,JBL,JBL Charge 6,,,Audio,La lámina no incluye este modelo exacto
6,A332.jpg,A332,JBL Flip 7,JBL,JBL Flip 7,,,Audio,La lámina no incluye este modelo exacto
6,A333.jpg,A333,JBL Go 4,JBL,JBL Go 4,,,Audio,La lámina no incluye este modelo exacto
6,A329.jpg,A329,JBL PartyBox 710,JBL,JBL PartyBox 710,,,Audio,La lámina no incluye este modelo exacto
6,A337.jpg,A337,JBL Tune 310 USB-C,JBL,JBL Tune 310 USB-C,,,Audio,La lámina no incluye este modelo exacto
6,A334.jpg,A334,JBL Tune 520BT,JBL,JBL Tune 520BT,,,Audio,La lámina no incluye este modelo exacto
6,A335.jpg,A335,JBL Tune 770NC,JBL,JBL Tune 770NC,,,Audio,La lámina no incluye este modelo exacto
6,A272.jpg,A272,X View Xpods 5,X View,X View Xpods 5,,,Audio,La lámina no incluye este modelo exacto
7,A229.jpg,A229,AirTag Pack X1 2ª Generación,Apple,AirTag Pack X1 2ª Generación,,,Accesorios,La lámina no incluye este modelo exacto
7,A230.jpg,A230,AirTag Pack X4,Apple,AirTag Pack X4,,,Accesorios,La lámina no incluye este modelo exacto
7,A223.jpg,A223,Apple Pencil 1ª Generación,Apple,Apple Pencil 1ª Generación,,,Accesorios,La lámina no incluye este modelo exacto
7,A225.jpg,A225,Apple Pencil Pro,Apple,Apple Pencil Pro,,,Accesorios,La lámina no incluye este modelo exacto
7,A224.jpg,A224,Apple Pencil USB-C,Apple,Apple Pencil USB-C,,,Accesorios,La lámina no incluye este modelo exacto
7,A338.jpg,A338,Cable USB iPhone,Apple,Cable USB iPhone,,,Accesorios,La lámina no incluye este modelo exacto
7,A339.jpg,A339,Cargador 20W certificado iPhone,Apple,Cargador 20W certificado iPhone,,,Accesorios,La lámina no incluye este modelo exacto
7,A340.jpg,A340,Cargador 20W original iPhone,Apple,Cargador 20W original iPhone,,,Accesorios,La lámina no incluye este modelo exacto
7,A341.jpg,A341,Cargador 20W original iPhone (llevando el equipo),Apple,Cargador 20W original iPhone (llevando el equipo),,,Accesorios,La lámina no incluye este modelo exacto
7,A239.jpg,A239,Malla Nike para Apple Watch,Apple,Malla Nike para Apple Watch,,,Accesorios,La lámina no incluye este modelo exacto
7,A343.jpg,A343,Wallet MagSafe,Apple,Wallet MagSafe,,,Accesorios,La lámina no incluye este modelo exacto
7,A344.jpg,A344,GoPro Hero 13,GoPro,GoPro Hero 13,,,Accesorios,La lámina no incluye este modelo exacto
7,A342.jpg,A342,Cargador Samsung 25W original,Samsung,Cargador Samsung 25W original,,,Accesorios,La lámina no incluye este modelo exacto
7,A327.jpg,A327,Joystick PS5 DualSense Adicional,Sony,Joystick PS5 DualSense Adicional,,,Accesorios,La lámina no incluye este modelo exacto
7,A328.jpg,A328,Volante Logitech para PS5,Sony,Volante Logitech para PS5,,,Accesorios,La lámina no incluye este modelo exacto
8,A324.jpg,A324,Nintendo Switch 2 LCD,Nintendo,Nintendo Switch 2 LCD,,,Consolas,La lámina no incluye este modelo exacto
8,A326.jpg,A326,Nintendo Switch Lite,Nintendo,Nintendo Switch Lite,,,Consolas,La lámina no incluye este modelo exacto
8,A325.jpg,A325,Nintendo Switch OLED,Nintendo,Nintendo Switch OLED,,,Consolas,La lámina no incluye este modelo exacto
8,A322.jpg,A322,PS5 Digital,Sony,PS5 Digital,,,Consolas,La lámina no incluye este modelo exacto
8,A323.jpg,A323,PS5 Lectora,Sony,PS5 Lectora,,,Consolas,La lámina no incluye este modelo exacto
8,A320.jpg,A320,PS5 Pro Digital,Sony,PS5 Pro Digital,,,Consolas,La lámina no incluye este modelo exacto
8,A321.jpg,A321,PS5 VR2 Lentes Realidad Virtual,Sony,PS5 VR2 Lentes Realidad Virtual,,,Consolas,La lámina no incluye este modelo exacto
